Student_ID,Subject,Study_Hours,Attendance,CAM_Percent,Previous_Marks,CAT1_Raw,CAT2_Raw,TEE_Raw,Final_Score_100
1,Fundamentals in AI and ML,1.2,67.4,53.4,79.2,38.7,46.2,31.5,53.61
2,Mathematics,1.2,59.2,54.0,71.1,34.6,40.1,77.6,64.59
3,Mathematics,2.5,81.5,88.6,35.4,43.2,39.4,50.5,75.94
4,Programming,2.5,89.4,46.1,57.8,27.6,27.0,44.8,50.95
5,Fundamentals in AI and ML,6.1,79.1,98.4,57.7,34.3,44.0,71.4,84.35
6,Data Structures,5.0,86.7,42.7,48.7,25.1,17.8,42.5,45.56
7,Fundamentals in AI and ML,3.7,75.4,90.0,44.8,27.4,38.5,77.6,79.55
8,Fundamentals in AI and ML,5.3,62.7,83.7,44.8,28.3,49.6,73.0,74.56
9,Physics,2.5,69.6,86.1,38.4,43.8,43.2,55.1,72.76
10,Fundamentals in AI and ML,2.5,97.4,92.6,53.9,37.9,28.8,93.6,85.5
11,Mathematics,2.0,61.3,84.7,67.3,41.1,30.0,68.8,71.61
12,Data Structures,2.5,99.9,70.6,40.5,16.6,18.8,72.1,61.96
13,Mathematics,5.2,72.3,75.8,63.1,23.8,34.4,95.7,72.7
14,Fundamentals in AI and ML,5.8,79.2,56.0,73.5,18.9,30.2,59.0,57.03
15,Data Structures,7.8,89.3,70.5,41.4,36.9,44.5,63.1,73.03
16,Programming,2.1,89.3,72.4,81.7,33.6,15.0,49.3,59.71
17,Fundamentals in AI and ML,1.8,71.3,99.1,83.4,23.4,23.4,67.6,69.0
18,Fundamentals in AI and ML,1.6,76.9,44.2,80.6,41.8,19.5,60.6,57.04
19,Physics,2.2,78.7,76.4,92.9,47.5,41.4,76.7,81.42
20,Data Structures,3.8,85.2,62.4,89.0,30.8,23.7,29.8,52.13
21,Fundamentals in AI and ML,5.1,65.4,53.2,39.3,37.1,23.0,92.9,64.52
22,Data Structures,1.5,65.7,80.1,47.9,19.6,47.7,67.8,68.56
23,Mathematics,2.7,76.3,64.4,40.7,38.1,27.4,55.8,63.93
24,Fundamentals in AI and ML,5.7,99.3,45.9,59.2,26.9,45.2,43.6,55.77
25,Programming,4.8,61.3,51.0,62.8,45.6,17.6,85.6,62.49
26,Physics,1.7,84.3,72.4,35.9,18.3,41.4,42.7,61.06
27,Mathematics,4.4,64.6,64.1,38.5,28.3,49.5,44.9,59.24
28,Mathematics,3.0,86.3,83.8,82.0,38.2,32.0,39.2,67.15
29,Programming,7.8,81.1,72.5,79.9,17.0,35.4,62.7,64.91
30,Physics,2.1,98.2,44.8,46.1,35.8,38.6,42.6,55.78
